sku,name,category,barcode_gtin,shelf_life_days,image_url
AYR100,Ayran 200ml,süt,8690000016,7,https://via.placeholder.com/150/0066cc/ffffff?text=Ayran
KRP250,Tereyağı 250g,süt,8690000017,60,https://via.placeholder.com/150/FFD700/000000?text=Tereyağı
SAL500,Salça 500g,konserve,8690000018,365,https://via.placeholder.com/150/FF4444/ffffff?text=Salça
PLV400,Pirinç 1kg,bakliyat,8690000019,720,https://via.placeholder.com/150/8B4513/ffffff?text=Pirinç
KHV200,Kahve 200g,içecek,8690000020,180,https://via.placeholder.com/150/6F4E37/ffffff?text=Kahve
BLG200,Bal 200g,şeker,8690000021,540,https://via.placeholder.com/150/FFA500/000000?text=Bal
FSD300,Fıstık Ezmesi 300g,atıştırmalık,8690000022,365,https://via.placeholder.com/150/D2691E/ffffff?text=Fıstık
RÇL250,Reçel Çilek 250g,şeker,8690000023,365,https://via.placeholder.com/150/FF1493/ffffff?text=Reçel
TRH400,Tahin 400g,bakliyat,8690000024,365,https://via.placeholder.com/150/CD853F/000000?text=Tahin
CPS150,Cips 150g,atıştırmalık,8690000025,90,https://via.placeholder.com/150/FFD700/000000?text=Cips
